Income Group,Region,1.01 Established business ownership (GEM),1.02 Total early-stage entrepreneurial activity (GEM),1.03 Political and operational stability (GII),1.04 Government effectiveness (GII),1.05 Policies for doing business (GII),1.06 Property Rights (IEF),1.07 Government Integrity (IEF),1.08 Labor Freedom (IEF),1.09 Trade freedom (IEF),1.10 Corruption Perceptions Index (TI),1.11 ICT regulatory environment (NRI),1.12 Regulation of emerging technologies (NRI),1.13 New business density (WB),1.14 Tax administration as a major constraint (WB),1.15 Tax rates as a major constraint (WB),2.01a Graduates in science & engineering (%) (GII),2.01b Researchers/Professionals engaged in R&D per million population (GII),2.01c ICT skills in the education system (NRI),2.02a GERD as a % GDP (UNESCO),2.02b GERD financed by business enterprise (NRI),2.02c GERD performed by business enterprise (NRI),2.02d R&D expenditure by governments and higher education (NRI),2.03a Mobile and internet banking transactions per 1000 adults (IMF),2.03b Robot density (NRI),2.03c Secure Internet servers (NRI),2.03d Fablabs per million population (Fablabs.io),2.04a Computer software spending (NRI),2.04b University-industry research collaborations (GII),"2.04c Trade, Diversification & Market Scale (GII)",2.05aTertiary inbound mobility (GII),2.05b QS university ranking (GII),"2.05c Research talent, % in businesses (GII)",2.05d Scientific and technical articles/bn PPP$ GDP (GII),2.05e. GitHub commit pushes received (GII),3.01a Entrepreneurship perceived capabilities (GEM),3.01b % school grads in tertiary education (GII),3.02a Ease of Access to Entrepreneurial Finance (GEM),3.02b Credit (GII),"3.02c Market capitalization, % GDP (GII)","3.02d Venture capital recipients, deals/bn PPP$ GDP (GII)","3.02e Venture capital received, value, % GDP (GII)",3.03a Bancarization (WB),3.03b Electricity access,3.03c Commercial and proffesional infrastructure (GEM),3.03d Physical infrastructure (GEM),"3.03e Electricity output, GWh/mn pop (GII)",3.03f Access to technology (NRI),"3.04a Balance of trade, % GDP (WB)",3.04b Domestic Market Scale (GII),3.05a Entrepreneurial intentions (GEM),3.05b Fear of failure (GEM),3.05c Entrepreneurship as a Good Career choice (GEM),3.05d High Status to Successful Entrepreneurs (GEM),3.05e Business Freedom (IEF),4.01 Economic Complexity Index (ECI),4.02 State of cluster development and depth (GII),4.03 Attracting and retaining talent (WTR),4.04 Foreign highly skilled personnel (WTR),5.01 Social Progress Index (SPI),5.02 Environmental performance (GII),5.03 Population below international poverty line (SDG 1 - No poverty),5.04 Prevalence of undernourishment (SDG 2 - Zero Hunger),5.05 Proportion of urban population living in slums (SDG 11 - Sustainable Cities and Communities),6.01 GDP per capita (IMF),6.02 Adjusted GDP growth per capita (SDG 8 - Decent Jobs and Economic Growth),6.03 Unemployment rate of population 15 years of age and older (SDG 8 - Decent Jobs and Economic Growth),6.04 Annual growth rate of GDP (WB),6.05 FDI inward flow as % of GDP (UNCTAD),SDG Index Score,International Spillovers Score
Upper middle income,Europe & Central Asia,,,0.6,0.33994315270000003,,0.312,0.389,0.47100000000000003,0.708,0.41,,,0.4222305051692512,0.9931141714793424,0.6835917022391972,0.8788603,0.166828,,0.42221805685363956,,,,0.8412192187986128,,,,,,0.6168068,0.1567082901,0.166,,0.09019042373,0.1994569473,0.30325826924217564,0.5711386,,0.1100351371512376,,0.02846745,0.006725640000000001,,1.0,,,0.19684629999999997,,0.6717562580942855,0.04307978999999999,0.38452676355902166,-0.07247909105254835,0.6146126760563381,0.431053079761567,0.276259932513334,0.8190380882239483,,,,0.5613806618048319,0.485,0.9994500000000001,0.9409000000000001,0.49778,0.5017882907448061,0.72761,0.8380299999999999,0.022998794120000002,0.1551178411320038,0.7599322446099651,0.8451590909090909
High income,Europe & Central Asia,,,0.8,0.7391748497999999,0.590038379,0.92,0.813,0.578,0.7859999999999999,0.73,0.9294,0.8210999999999999,0.7477067005744754,0.890937361172812,0.667116003894256,0.2736151,0.6593378,0.6657,1.0105907831485956,0.7953,0.665,0.7368000000000001,0.8887235837253755,0.2952,0.8055,1.032657758879177,0.5338,0.6876449,0.6445543,0.2676048058,0.5513333333,0.6925740251000001,0.5968690524,0.3897669645,,0.526415,,0.2774212918433302,0.2815752,0.2239295,0.167095,0.9841269841269841,1.0,,,0.3726144,0.7545999999999999,0.5621972309716757,0.1432812,,,,,0.8270382061608793,0.8832136379084089,0.6366011,0.7415430761539744,0.6674390489623212,0.9515676936051992,0.5820000000000001,0.99752,0.9409000000000001,1.0,0.9081413088270682,0.72213,0.77673,0.06133865964,0.3641437826712652,0.7969395556453353,0.5402308333333332
Lower middle income,Sub-Saharan Africa,,,0.6181818182,0.4401888795,0.5669759115,0.43200000000000005,0.436,0.6,0.608,0.42,0.6039,0.4395,0.2766102343739163,0.09573522878720558,0.39152250430614843,0.3438592,,0.568,,,,,-0.045636916606917925,,0.235,0.5730358495958502,0.0461,0.3710243,0.1852727,0.07851420088,0.0,,0.18096207669999997,0.00403223026,,0.04828679,,0.16685514154105419,,,,0.19047619047619047,-0.010296502309649066,,,0.00270507,0.4363,0.3919837707988419,0.00832028,,,,,0.13040165451181004,,0.345271,,,0.16449620479237972,0.29600000000000004,0.37383000000000005,0.82033,0.34222,0.0818250389022113,0.66706,0.96224,0.07155729529,0.12329920948899536,0.5123775133053221,0.9847000000000001
Upper middle income,Europe & Central Asia,,,0.6363636364,0.28698703259999997,0.2181003094,0.48200000000000004,0.331,0.606,0.68,0.35,0.8941,0.1605,0.39306051635388983,0.47778764993336287,0.5472927432037744,0.46791130000000003,0.0502971,0.2781,0.15974683607649182,0.44630000000000003,0.0183,0.0947,,0.0024,0.6431,0.8141090634774014,0.0776,0.290872,0.5989903000000001,0.175033748,0.0,0.1432783538,0.2220269103,0.05923940314,,0.23407530000000001,,0.3116931038097528,,,,0.6666666666666667,1.0,,,0.241834,0.5475,0.24193297341682926,0.00983923,,,,,0.5657994992924784,0.7599539019143616,0.3976799,,,0.5549312893783798,0.39399999999999996,0.99917,0.9409000000000001,0.90778,0.44954346961476804,0.75792,0.43091,0.0754559113,0.20006034190450828,0.7172738347338936,0.9161899999999998
Upper middle income,Sub-Saharan Africa,,,0.8,0.5523329186,0.6135611534000001,0.728,0.586,0.623,0.7859999999999999,0.55,0.6765000000000001,0.2132,1.0593192690021218,0.6688138605064414,0.8408597318954543,0.30493780000000004,,0.4763,,0.2183,0.024900000000000002,0.3018,0.8994999954367163,,0.4449,,0.1058,0.4920456,0.31845680000000004,0.05805484331,0.0,,0.1918129813,0.00905880066,,0.15215120000000001,,0.2343107706931545,,0.07537927,0.0040354200000000005,,0.5170838092185454,,,0.044248539999999996,0.5904,0.4063691400337835,0.0071167999999999995,,,,,0.5266136932622183,-0.001738084927282677,0.4837045,0.08165305782369607,0.6472899455974209,0.4224711018504737,0.54,0.7724500000000001,0.30733,,0.46665109517742415,0.49645000000000006,0.08512,0.1137002186,0.027031013236559164,0.6143245409274821,0.8520536363636364
Upper middle income,Latin America & Caribbean,0.8571872190277576,0.658888888888889,0.6545454545,0.40074204799999996,0.3537684679,0.49700000000000005,0.391,0.57,0.65,0.38,0.9176000000000001,0.4526,0.6241326640485703,-0.5262105730786321,-0.12671309818018436,0.3058463,,0.1953,0.6905716228930227,0.5377000000000001,,,1.1402079616327272,0.023399999999999997,0.6412,0.7935612012175773,0.2641,0.4038594,0.7236127,0.005805831700000001,0.425,,0.26361226039999996,0.08321545146,0.5950789853496511,0.35328960000000004,-0.03896103896103895,0.2213571938169596,0.22381430000000002,0.1101806,0.3083324,0.7460317460317459,1.0,-0.014613778705636805,0.06510851419031728,0.1422079,0.7490000000000001,0.5613806315779916,0.7724472,0.9544586238134625,0.2731103045605176,,,0.4917818656797648,0.6629439085301307,0.4975773,0.48158640226628896,-0.0095708240983276,0.5556754477352781,0.436,0.94339,0.9409000000000001,0.83111,0.5094082649432617,0.57777,0.48244,0.04619421621,0.2640357843571931,0.7279943571428572,0.977979090909091
Upper middle income,Europe & Central Asia,,,0.6909090909,0.4814688515,0.4153177341,0.753,0.439,0.638,0.7859999999999999,0.42,0.9294,0.5895,0.4705255623800122,0.8354064860062194,0.8573354302403955,0.33872860000000005,0.2744888,0.642,0.5968430735567564,0.4648,0.1523,0.1736,0.6915912486110891,0.033,0.8602,0.679396121581246,0.2043,0.5032578,0.6423546,0.19138482769999998,0.06766666667,0.6008941944,0.22856413020000002,0.1640455946,,0.4796123,,0.31191385520894643,0.09032825000000001,0.053527189999999995,0.0058496,0.7460317460317459,0.9948268660709769,,,0.283912,0.7173,0.5776939311287451,0.03789384,,,,,0.6702949820398387,1.0446025041195375,0.5402317,-0.06165639060156626,-0.019645375780777696,0.6933447437614725,0.519,0.9896699999999999,0.92908,,0.5883170979250893,0.80812,0.8271999999999999,0.07634609716,0.15846254218040368,0.7428536535947714,0.8823963636363636
Low income,Sub-Saharan Africa,,,0.5090909091,0.3528213354,0.4730361303,0.382,0.42700000000000005,0.618,0.612,0.42,0.8234999999999999,,0.13459793510581408,-0.25077743225233246,-0.03984123417958528,0.3671658,,0.0858,0.23634573923711977,0.1472,,0.5440999999999999,-0.060109200499733416,,0.14300000000000002,0.4747146980801942,0.024300000000000002,0.3021531,0.2736104,0.05411036211,0.0,,0.1431879153,0.00042412912999999995,0.9386998556713261,0.02581244,,0.1910484953734325,,0.1213895,0.0,-0.015873015873015886,-0.3974835048589351,,,0.0031888899999999998,0.3617,,0.0097047,0.9327956989247311,0.1456051759507654,0.6465228873239438,0.7989213738291229,0.001959290301512927,0.08693358841354959,0.2866244,,,0.024098328124224636,0.355,0.49215000000000003,0.6595700000000001,0.37111000000000005,-0.033731736039597254,0.57589,0.83591,0.06906341673,0.06217613628053153,0.5446792577808901,0.992470909090909
Low income,Sub-Saharan Africa,,,0.49090909089999996,0.2257966414,0.49951875209999996,0.198,0.125,0.418,0.528,0.19,0.5765,0.3237,,0.31563749444691236,0.04703062982101381,0.3443655,0.00103321,0.2278,,0.1085,0.0048,0.107,,,0.1753,,0.0641,0.385644,0.08947822,0.1266415743,0.0,0.01504907682,0.1357015129,0.00086884946,,0.00589967,,0.05821067624516168,,,,,-0.5220125643007615,,,,0.2104,0.07097277008665255,0.0,,,,,-0.22662457820833795,,0.409966,,,-0.14755419953366103,0.305,0.0,,0.43889,-0.2708624870959358,0.31325,0.95449,0.017953,0.018686211531605813,0.5405309657640833,0.9975154545454546
Lower middle income,East Asia & Pacific,,,0.7090909091,0.40669174259999996,0.4379325708,0.408,0.145,0.479,0.6679999999999999,0.23,0.6274000000000001,0.3,0.2504407616147989,0.9175921812527765,0.9966299707930802,0.4639642,,0.355,,0.2401,0.0040999999999999995,0.0311,,,0.4183,0.0,0.024900000000000002,0.3907352,0.30688099999999996,,0.0,,0.06642331433,0.01231337737,,0.07355843000000001,,0.7656480176137238,,0.1504489,0.01092789,-0.06349206349206346,0.7654845952176171,,,0.02454283,0.5769,0.46181308261891457,0.01544384,,,,,0.2914988570806573,0.29105414419338965,0.4836384,,,0.16995336607630093,0.301,0.9792000000000001,0.85343,0.49333,0.14114070684520647,0.6463500000000001,0.99705,0.030263893629999997,1.0937279923928327,0.6375339777661064,0.9756090909090909
Lower middle income,Sub-Saharan Africa,,,0.5454545455,0.3068160814,0.4830036561,0.384,0.21100000000000002,0.467,0.536,0.27,0.698,0.2395,,0.26454908929364723,0.46790983299633043,,,0.3728,,,,,0.19450927633068482,,0.2261,0.5569840642416891,0.1274,0.4140312,0.01076567,0.07444546932,0.0,,0.2415010543,0.00595988505,,0.07029222,,0.09609344516285206,,0.04280573000000001,0.0027615499999999998,0.23809523809523814,0.3916630739251528,,,0.01478459,0.301,0.44586218004956474,0.02153133,,,,,0.1347556329596168,-0.005666467543464661,0.41373220000000005,,,0.06304261546857153,0.302,0.6975199999999999,0.8747,0.72667,0.11555853037581565,0.5287299999999999,0.8711,0.03649916886,0.16357399860722224,0.5554948837535014,0.991884
High income,North America,0.5309271345297489,0.5033333333333334,0.8363636364,0.8511775136999999,0.6646696726000001,0.885,0.831,0.69,0.8340000000000001,0.74,0.8647,0.7895,0.03746120385983814,,,0.5265972,0.5175037,0.7367,0.8008536768479353,0.5181,0.22699999999999998,0.685,,0.2843,0.8453,0.8115458610601002,0.6225,0.6793233999999999,0.7779815999999999,0.4326891732,0.8213333333,0.7122319944000001,0.5801078687,0.4404994754,0.44106249629292793,0.4956747,0.6289424860853433,0.49353341049652777,0.5138315,1.0,0.6413747,1.0,1.0,0.6116910229645094,0.5993322203672787,0.8265254,0.7597,0.5386092235423816,0.4546794,0.17518413486155424,-0.0039924254379043725,,,1.0207902470882768,0.9137770069832352,0.6297808,0.7848691884685886,0.8266169655450333,0.9751327082403136,0.5,0.9968300000000001,0.9409000000000001,1.0,0.9345736429803586,0.57289,0.77764,0.04540887309,0.2523448550415983,0.7773048207282912,0.6504091666666666
High income,Latin America & Caribbean,0.6339445836149544,0.9700000000000001,0.7272727272999999,0.7099772537,0.6337499619,0.723,0.718,0.594,0.78,0.67,0.8588,0.4974,0.9679099784469967,0.9775655264326965,0.9052647345165881,0.3746927,0.05700113,0.4704,,0.3832,0.03,0.17550000000000002,0.8826495874485707,0.0048,0.7553,0.86932215403582,0.4096,0.4141648,0.6122759,0.01453675726,0.4133333333,0.33621328980000004,0.3293634456,0.05409336585,0.674163190256826,0.6161769,0.07235621521335817,0.39449010823029584,0.2872761,0.07726914,0.08566238,0.7936507936507936,1.0,0.4864300626304803,0.7328881469115193,0.205454,0.7526,0.5201172911206318,0.1156534,0.9010890543148607,0.2188259428751776,0.737411971830986,,0.7551975617720691,0.24575347189799737,0.45449069999999997,0.40826528911848037,0.812512593189603,0.7918216996576871,0.467,0.99959,0.91962,1.0,0.6389691447013062,0.62538,0.6953900000000001,0.116682247,0.33960355549995536,0.7780720315126053,0.9066336363636366
Upper middle income,East Asia & Pacific,0.11374935363463737,0.03666666666666664,0.7090909091,0.6365808802,0.7186404863999999,0.45299999999999996,0.42,0.552,0.736,0.45,0.5412,0.8368000000000001,0.8884507821906625,0.982007996446024,0.9996255523103423,,0.18052479999999999,0.7781,0.9039759689637188,0.9581999999999999,0.4827,0.4364,,0.4796,0.5468999999999999,0.22193401117885278,0.2955,0.7008576999999999,0.9463391,0.011230896169999999,0.868,0.7137651463,0.3242635066,0.01743250896,,0.3760283,0.8144712430426716,0.4470542271321948,0.2346363,0.3101117,0.4796933,0.8253968253968255,1.0,0.40292275574112735,0.8664440734557595,0.2706328,0.8784000000000001,0.6006433369332692,1.0,,,,,0.5941003592032218,0.6394119300975727,0.7256743,0.6315614064322613,0.510276042716099,0.41875031006598185,0.284,0.99807,0.9409000000000001,,0.5966766404152206,0.8708100000000001,0.8341299999999999,0.08109792581000001,0.08840935717083041,0.7238258578431371,0.9484590909090911
Upper middle income,Latin America & Caribbean,0.4077359357747097,1.0144444444444445,0.6181818182,0.5057009094,0.46075789129999994,0.449,0.414,0.617,0.758,0.39,0.8234999999999999,0.47369999999999995,0.547839178005653,0.06019546868058627,0.18033400733917462,0.47462380000000004,,0.44670000000000004,0.2793548260719063,0.6606000000000001,0.039,0.0542,0.9997805133314634,,0.4793,0.6408268988146707,0.16620000000000001,0.4672271,0.6261518,0.0049956659300000004,0.349,,0.1370973174,0.04864465356,0.38787836849285284,0.3470783,0.1836734693877551,0.24267368628740532,0.1381848,0.054231299999999996,0.2185308,0.36507936507936506,1.0,0.19415448851774528,0.332220367278798,0.07010432,0.6177,0.3375824663151166,0.18100090000000002,0.3217042813817008,0.15822944611014675,0.15158450704225362,0.17729208061311386,0.6790029389354522,0.46724141412798964,0.5029929,0.15497417097150468,0.32691920209550684,0.5202038993897901,0.424,0.9293399999999999,0.79196,0.68333,0.4436319658621691,0.62909,0.50409,0.1067701307,0.2521878492796043,0.7012561449579833,0.9617890909090907
Upper middle income,Latin America & Caribbean,,,0.6909090909,0.5750368353,0.6085998217,0.66,0.633,0.581,0.746,0.58,0.8824,0.5658,0.6885609814939011,0.5111061750333185,0.5442971616865123,0.2277258,0.038006069999999996,0.5621,,0.0279,0.0379,0.19940000000000002,0.9005301761411744,,0.5734,0.9579018405588651,0.2671,0.4532214,0.5452694,0.03036224457,0.11599999999999999,,0.1318777361,0.09291307807,,0.37086759999999996,,0.2176969083443352,0.01214609,0.02370618,0.0038531,0.49206349206349215,0.998275622023659,,,0.1052052,0.6973999999999999,0.5771674164491554,0.023066049999999998,,,,,0.7138347665179056,0.44841451961973394,0.5246083,,,0.7885970134444611,0.46299999999999997,0.9976600000000001,0.92671,0.96,0.5987756037953713,0.7118300000000001,0.34823,0.07579565299,0.4294514664266846,0.7376488795518208,0.8087054545454545
